Hospital,Patient's Review,Class
Well Key Health,Took my 8-year-old daughter for a UTI. The staff was phenomenal and better with kids than most places just for kids. Wish I got their names but the lady at check-in and the nurse or MA who took her vitals you ladies deserve a raise and recognition for your excellent attitudes and service. Much obliged.,1
Well Key Health,"My 7 year old son just went for his 2nd visit to Well-Key. Both visits were on a Sunday evening. We were in and out in under an hour both times, with hardly any wait time. Even for a weekend night, the staff was super friendly and kind, from check-in to check out. Everyone made sure he got a Popsicle and stickers and said they hoped he felt better. A note for school was ready at check out. The prescription was ready as soon as we got to the pharmacy. I cannot say enough good things. Iâ€™ve told everyone I know what a great place this is! Thanks so much Well-Key!",1
Well Key Health,I appreciate the cleanliness of the office! Such a great benefit that the office was open on Easter evening. The front desk attendant was so nice and helpful. It was the best walk in clinic experience.,1
Well Key Health,I was treated with respect and the staff had a professional attitude. I would recommend Well-Key to anyone who is looking for an Urgent Care and already have. Everyone was great!,1
Well Key Health,"The nurse was amazing. She was very caring and sweet. She knew what she was doing and was so helpful. If I am ever in need while I am visiting, I would come here again.",1
Well Key Health,All the employees were professional and so very kind. I like that they listen to me and seem genuinely caring about my problems. Thank you.,1
Well Key Health,I only had to wait less than 5 minutes. The nurses worked quickly and were polite. Dr. Huskey ran the necessary tests and the examination revealed both a sinus and an ear infection. She explained my illness and the course of action. I was extremely pleased with my visit to the Sevierville Well-Key Urgent Care.,1
Well Key Health,My regular doctor had no open appointments so I went to Well-Key. They were very professional and very helpful. This was my first visit to a walk-in clinic and needless to sayâ€¦I picked a great one!,1
Well Key Health,"I appreciate the friendly, non-threatening atmosphere and the prompt attention I received. I have already recommended Well-Key to many friends and would not hesitate to return if necessary. Thank you!",1
Well Key Health,"The care was outstanding all the way from start to finish. The Doctor put forth a high level of effort to deliver results. The support staff was very professional and pleasant. The facility was well equipped and designed for patient privacy, service and efficiency. The electronic prescription process worked great. The insurance was handled equally as well. Recognizing it may be difficult â€¦.. an opportunity for enhancement would be partial merging of the patient data forms. We will highly recommend â€œWell-keyâ€ at every opportunity. Great JOB !!!",1
Well Key Health,Absolutely IMPRESSED! The staff was fantastic and the best partâ€¦the doctor (Michael Rothwell)â€¦OUTSTANDING! Very compassionate and patient. Great experience and wonâ€™t go to any other walk-in but Well-Key!,1
Well Key Health,"I have an old wrist injury that flared up suddenly 2 days before I needed to be on a plane for a business trip, (of course, itâ€™s in my writing hand). It was easy to check in and I was seen very quickly. I explained my problem and received a great short-term solution and felt better within hours. I was given prescriptions to take with me on the trip in case there was any further issues. Nice people, fast service, great results. THANK YOU ALL!",1
Well Key Health,"The fast courteous response of the staff at check in, to the timeliness with the practitioner and the doctor was an overall pleasant experience. I was well cared for and felt the warmth from all parties involved in my visit!",1
Well Key Health,The wait time in the waiting room as well as in the examining room was not long at all. Pleasant staff and they took the time to listen and didnâ€™t rush through things. Overall great experience! Thank you!,1
Well Key Health,"My ear infection was taken care of without any fuss. The doctor was knowledgeable and confident. If I ever get ill outside of my doctorâ€™s hours, I will not hesitate to go back!",1
Well Key Health,"We were in Pigeon Forge this weekend at our cabin and I noticed I was getting pink eye Saturday afternoon. After having a miserable night Saturday night I decided to go to an after hour medical clinic on Sunday morning, and my husband remembered seeing your clinic. Being from out of town I was unsure how to get an appointment and how my insurance would work, but the professional staff at Well-Key made it easy to see the Doctor and get medicine to feel better. Thanks for taking care of me and being so kind and helpful!",1
Well Key Health,"I came in with a sinus infection at 8:00 am. was seen within 10 minutes and got checked, obtained a prescription and away I went within 30 minutes. Outstanding service by the front desk and the intake lady and the P.A. Couldnâ€™t have been treated any better.",1
Well Key Health,Was in for a sinus infection. Very short wait which Iâ€™m sure is unusual for such a busy place. The people I saw were very professional and knowledgeable. Thanks!,1
Well Key Health,"Very professional, yet friendly Doctor and staff. In and out quick.",1
Well Key Health,I was able to download patient forms online and walked in with the forms completed. You are welcomed by smiling faces and my wait time was less than 6 minutes. The nurse was exceptional and very knowledgable. The doctor showed concern and treated me like a patient (not a number/quota). I was in/out in under 30 minutes. I will definitely visit Well-Key again!!! Great customer service!,1
Well Key Health,"The office was very clean and well kept. The staff was great! Very nice, clean and professional appearance. The wait time was very minimum.",1
Well Key Health,Staff was very helpful and friendly. I was also very impressed with the doctor. I would not hesitate to return if needed and would not hesitate to recommend the clinic.l!,1
Well Key Health,"I was seen promptly, diagnosed quickly! Very professional staff, very friendly. The place was immaculate. I was very impressed! It was Sunday morning so I was hoping I wouldnâ€™t have to wait a long time. I was seen almost before i got my paperwork filled out!",1
Well Key Health,My Mother had been up sick all night. She was dehydrated and could hardly function. Each care provider we encountered from the front desk to the Doctor was caring and friendly. They continued to check on her as tests were running and even brought her a blanket. I never doubted their competency. By the time we left there her color had returned and she was laughing and wanting to fix her hair! I am so grateful.,1
Well Key Health,"Excellent care from the minute I checked in with the office staff, the nurse screening and procedures, and the doctorâ€™s knowledge and diagnosis of my problem.",1
Well Key Health,"From registration to medical assistant to physician, everyone was kind and helpful and everything went smoothly and quickly. So appreciate having Well-Key close by for times when needed. Will not hesitate to visit again if need be.",1
Well Key Health,Dr. spent time explaining his diagnosis. Other caretakers were courteous and expedient. Wait time was minimal. Very clean. I would highly recommend Well-Key. Thanks for what you do.,1
Well Key Health,"The receptionist greeted me immediately. Doctor took a good bit of time with me and asked if I had any questions. Wait time was very reasonable. If my family needs an urgent care again, we will return to this facility.",1
Well Key Health,"You did a great job, I was well pleased. The wait was short & the staff was very prompt.I would highly recommend you. Thank you, Thank you!!",1
Well Key Health,"I came in with what I thought was a bad cut. Turned out to be a somewhat minor, but long cut. I believe the whole experience took less than 1 hour, which I was surprised. Iâ€™ve had great care when it was Smoky Mountain Urgent Care, and Iâ€™m glad to see it continues under Well-Key.",1
Well Key Health,Always an enjoyable experience. Even when you are sick and feel awful. Very efficient. We were in and out in about 30 minutes.,1
Well Key Health,"Obviously I was not feeling well when I stopped at this facility for care. And great care is what I received! From the receptionist to the nurse to the doctor. The office is exceptionally clean and I was in and out in less than an hour. Everyone that I came in contact with made me feel cared for, and my nurse even made me laugh. Hoping to feel better soon with medication that was called in!",1
Well Key Health,"Iâ€™ve never had to wait an extreme amount of time, your hours are great and your staff and doctors are top notch. Always friendly and caring and i have never felt like just a number to be dealt with. Thank you so much.",1
Well Key Health,"Excellent, no wait, saw the md, took care of the problem, there was no wasted time and I felt like all my concerns were addressed.",1
Well Key Health,"Wait time wasnâ€™t bad considering the amount of patients to be seen. I was there just over an hour start to finish. I was also very pleased with the doctor that I saw, he was very informative and professional. I also liked his â€œbed sideâ€ manner, he was very friendly.",1
Well Key Health,Was very happy with the attention from the doctor and nurse regarding my illness. In and out in a timely manner.,1
Well Key Health,"More thorough than my regular provider would have been. Very professional, compassionate staff. Will definitely use this facility again.!",1
Well Key Health,Very efficient and was out of there in an hour. I will refer Well-Key to anyone needing emergent care or after hours care.,1
Well Key Health,They took the time to talk and explain everything. Didnâ€™t try to push me in and out for a quick turn-around like most other places I have been. I would definitely recommend.,1
Well Key Health,"I was greeted warmly and seen quickly. And though I could not be fully helped at the facility, I was given a quick referral that got me to the right place immediately.",1
Well Key Health,I have never been to a place that has been as kind and friendly as you all. You all gave me the best care ever and that means a lot. The Doctor was real great and cared a lot to make sure I got well and better. I will be recommending you all to everyone.,1
Well Key Health,"I waited a few minutes, but not too long. It was a pleasant experience, and I received the medical care and â€œbootâ€ I needed. I rushed to get there because I had a meeting to get to and I was only a few minutes late. I would likely still be waiting at the emergency room if I went there instead.",1
Well Key Health,"Everyone there was very polite and treated as youâ€™ve been coming there forever. We brought our boys there to be checked out for upper respiratory problems. They are 11 and 5. My oldest son has autism, and the doctor, she was amazing with him. She was wonderfuly patient with both boys, but very special with my oldest.",1
Well Key Health,I walked in for a DOT physical without an appointment and the whole staff was very gracious and managed to fit me in right away! Very impressive. The entire staff was great and I recommend the facility to all.,1
Well Key Health,"The doctor was wonderful and thorough. I had a different doctor last week ( another child sick), she was also AMAZING. She had blonde hair and was a Medical Director. Loved her.",1
Well Key Health,The medical staff at Well-Key was exceptional and I would highly recommend them to anyone. I was taken in quickly and my physician was very thorough with excellent care in a very timely manner.,1
Well Key Health,"I came to your office due to an eye problem. I was greeted very nicely and after completing paperwork was taken back almost immediately. The doctor assistant took all the necessary info and the nurse practitioner came in to see me. That to me is almost unheard ofâ€¦ You normally wait and wait. She assessed the problem, made a decision for medication and I was on the way. Everyone was very caring and efficient. Sure wish we could come here for our regular medical needs.",1
Well Key Health,"I was very pleased with the manner in which both the nurse and the doctor handled my son. It was his first time getting staples and he was very nervous, but the doctor and the nurse kept him calm. We will recommend Well-Key to our friends.",1
Well Key Health,"Courteous, prompt, and knowledgeable service from front desk staff, clinical staff, and physician! I would have had to wait another 3 weeks to see my â€œregularâ€ doctor. Instead, I received initial treatment from Well-Key and will follow-up with my â€œregularâ€ doctor.",1
Well Key Health,"Myself, my husband an my daughter have all been seen here in the past two weeks. I have never been more impressed with a clinic and all the staff. The doctors were all amazing and for my daughter the Doctor was so kind and good to her. I wish I could use your clinic as a primary care place because you have the best doctors!!",1
Well Key Health,"While on vacation from Alabama, our 3 year old son became sick. The nurse practitioner was so kind and gentle with my son and everyone I dealt with was very professional and kind. We were in and out in about an hour. Thanks again for taking care of my baby while we were away from home!",1
Well Key Health,All of the staff were amazing! I was in and out in just under 25 minutes! Will come again!,1
Well Key Health,I really liked the Doctor. They took their time with you efficiently and professionally. The nurse that gave me a steroid shot didnâ€™t hurt me at allâ€¦till about 10 minutes after he gave it! Lol. Thank you for providing medical care outside of going to an ER!,1
Well Key Health,"There wasnâ€™t too much paperwork, my wait was short, and the technologist and doctor were quick, informative, and friendly. They recognized that I have a certain amount of knowledge about healthcare, and interacted with me appropriately.",1
Well Key Health,"I walked in 5 mins before closing time, I thought I would get a staff ready to go home and not happy to see me so close to closing time but thatâ€™s not at all what I received! Such a happy, helpful, and professional staff from the lady at the front deak to the assistant who gave me my shot and the doctor all class acts! I will definitely be backâ€¦ Well I hope I stay healthy and donâ€™t have to, but if I do get sick again, I will be back at Well-Key!!",1
Well Key Health,I was extremely pleased to visit a doctor who showed genuine concern and took time to talk to me. Most physicians make you feel uncomfortable and as if your thoughts and ideas are unimportant. The entire staff was so helpful and considerate.,1
Well Key Health,I had sick twin boys. The staff was able to process us quickly and get us in a room. They saw both boys at the same time which was nice. And the nurses and the doctor were knowledgeable and very nice and caring. The boys even got a popsicle to finish out their visit.,1
Well Key Health,Was so sick and so happy you were open at 6:00 pm on Saturday evening. Feeling better just a few hours later due to aggressive treatment â€“ shots!! I will definitely recommend this clinic to friends and family.,1
Well Key Health,"I was greeted in a very friendly manner and was taken back very quickly. The doctor was extremely nice, and he described my problem and my treatment to me in a way I understood. Except for being ill, it couldnâ€™t have been a better experience.",1
AINU,Service and treatment is very good. Thank you for taking care of my father,1
AINU,I got fabulous experience in AINU as the doctors and staff are the best.,1
AINU,This hospital is very good and faithfulness. This is rare one in the city.,1
AINU,"All staff, nurses and doctors are excelent",1
AINU,I really appreciate all the doctors and nursing staff for their commitment.,1
AINU,It was very positive experience since admission till discharge. Great job everyone.,1
AINU,Good maintainence of rooms. Nice geusture by nursing staff. Overall had a very good experience and feel at home. Good job. Cheers..!,1
AINU,Hospital is maintained excellently. No problems for patients. Thanks to Dr.Mallikarjuna & his team for giving greatest service to the patients.,1
AINU,I am very thankful to this hospital and Dr P.C.Reddy for curing my fatherâ€™s health problem with his skillful treatment.,1
AINU,I really appreciate all the doctors and nursing staff for their commitment.,1
AINU,"Attention given by the doctors and staff is good. I am impressed and feel to refer any patient, who required treatment at AINU",1
AINU,I am very thankful to this hospital and Dr P.C.Reddy for curing my fatherâ€™s health problem with his skillful treatment.,1
AINU,The best Urology and Nephrology Institute in South India.,1
AINU,"More than Dr. Mallikarjunaâ€™s treatment, we love his smile, compassion and confidence. I appreciate your team work. Thank you.",1
AINU,Good maintainence of rooms. Nice geusture by nursing staff. Overall had a very good experience and feel at home. Good job. Cheers..!,1
AINU,Excellent services. We are very much satisfied with all the services.,1
AINU,Hospitalâ€™s services are very good. Doctors are regularly available. Hospital is maintained very neatly.,1
AINU,"Doctors and Nursing staff very caring, we had very good treatment here. Thanks to Team of AINU",1
AINU,Nursing Staff is excellent and dedicated. Housekeeping is very good. Doctors are professional and gave confidence to the patients. Please keep up the good work.,1
AINU,"Wish the team a Grand Success, a bright future and good speed.",1
AINU,We needed your services to Tanzania. You have good Hospitality.,1
AINU,Excellent service of Doctors and Nursing staff. All the best to AINU Hospital team.,1
AINU,Thanks to everyone â€¦. its such a grt hospital in Asiaâ€¦. Good luckâ€¦ I totally agree with Mr Ramesh Jasti â€¦ really AINU is jst awsmâ€¦.,1
AINU,"I came from West Bengal with urinal problem met Dr.PC Reddy he advised for minor operation and he did URSL stone removal surgery, now my health condition is very good.",1
AINU,"Extremely qualified doctors with a humane approach towards patients. Well maintained,friendly and efficient nursing and support staff.",1
AINU,very advanced hospital with the technology and also doctorsâ€¦.they take care of patients verygoodâ€¦the entire staff reciveing and treating of the patients is very excellentâ€¦,1
AINU,"Extremely well maintained hospital with a terrific team of doctors, who leave no stone unturned for a patient and stand by you on the journey to recovery.",1
AINU,very advanced hospital with the technology and also doctorsâ€¦.they take care of patients verygoodâ€¦the entire staff reciveing and treating of the patients is very excellentâ€¦,1
AINU,Everything is fine found to be satisfactory.Paramedical staffare are giving most attention to patients in ICU,1
AINU,Hospitalâ€™s services are very good. Doctors are regularly available. Hospital is maintained very neatly.,1
AINU,"The dedication and presence of Dr.Mallikarjuna, Dr.PC Reddy, support staff & house keeping staff made me to recover soon Thanks a lot.",1
AINU,Happy with all facilities satisfied with all services. Atmosphere of hospital in always pin drop silence..,1
AINU,We know the services of this hospital since its inception. Patient friendly hospital.,1
AINU,Nothing to specify in particular. Everything is in good manner. 100% marks when it comes to cleanliness. Never seen such a well maintained hospital.,1
AINU,One of the best hospital in South India for Kidney treatment. Urology and Nephrology departments are collectively excellent. Dr. mallikarjuna and Dr. P.C.Reddy are excellent doctors,1
AINU,Hello this is deena. I was admitted into AINU with a very severe pain of my hydronephrosized kidney and had nephrectomy with advanced equipment and intensive care. though i was very scared of surgery all the doctors,1
AINU,"Recently, I visited this institute to treat my severe urinary tract infection. I consulted Dr Purna Chandra Reddy and highly impressed with his professionalism with human none face.",1
AINU,My name is salum Hamadi am from TANZANIA. fisrtly the docters are aswomeee and the nusrse was perfect.,1
AINU,"I am very happy that I came to this institution for my problem and extremely greatful to Dr. Mallikarjuna,",1
AINU,very advanced hospital with the technology and also doctorsâ€¦.they take care of patients verygoodâ€¦the entire staff reciveing and treating of the patients is very excellentâ€¦,1
Apollo hospital,"Recently visited health check up department of Apollo Hospital for a whole body check up. The entire process from check in to the end was seamless. The staff at the health check department was courteous, helpful and very attentive. I would highly recommend this hospital to anyone looking for something similar services.",1
Apollo hospital,"Dr Vijay Kumar Chennamchetty: We met Dr Vijay Chennamchetty last month with severe cough and sputum for my father Dr Varaprasad. His way of handling patients is excellent and so soothing that the patient feels immensely confident about recovery. Thanks to Dr. Vijay, within 2 weeks, he is completely normal.",1
Apollo hospital,In Apollo hospital Dr.Radha Shah at reception people Mr.Venkat helping to patients excelent way of speaking Guidense.. I felt very Happy with this people.. I strongly recommend to my Friends n Relatives to this Apollo Hospital,1
Apollo hospital,It's very well mannered staff good coordination with patients. Mrs. Praveena garu assisted very well and taken good care towards patients. Overall experience is satisfactory.,1
Apollo hospital,"Dr. Shree kumar Reddy is very experienced opthalmologist doctor in Hyderabad. I have been consulting him for 10+ years for me, family and my Friends. He did cataracts surgery for my mother and now she can see like a normal person.",1
Apollo hospital,Apollo hospital is one of the best and most trusted hospital in Asia I have treated some of my relatives and they told me that apollo was one their best choice.,1
Apollo hospital,Dr.Srikumar reddy ophthalmologist treated my mother very well. He gave correct diagnosis. And explained us in detail. Whole operation process and insurance process is smooth.,1
Apollo hospital,Dr ashwini is very excellent in treatment and way of receiving the patients. We are very happy. And secretary is very good very polite towards she helped me alot for my transplant. Overall excellence,1
Apollo hospital,Since long i was suffering from blood in cough but no doctor except Dr.Vijay kumar chennam chetty identified my problem and started the diagnosis. He is very polite and listens to each patient carefully and clearly explains the required treatment to be done. Strongly recommends dr. Vijay kumar Chennamshetty,1
Apollo hospital,Dr pallavi reddy mam and her secretary sandhya reddy mam given beyond expecting service to the patient.,1
Apollo hospital,"Doctor Rajesh fogla is a professional doctor and he helped me through my whole process of cross linking treatment and Opthalmology department of Apollo hospital jubilee hills is very good,they are cooperative and very helpful.",1
Apollo hospital,"Excellent treatment, very polite and sincere Dr. Vijay sir and team. Thank you very much I am grateful to you.",1
Apollo hospital,He is good and very polite and gave good explanation on our case.. All Set for operation next week.. Thank you sir..,1
Apollo hospital,Came here for health checkup and all the procedure from start to end was handled smoothly by the staff here and hospital is clean and neat.,1
Apollo hospital,Dr pradyut waghray good front office Divya is helpful,1
Apollo hospital,I am having very good experience whilr attending Appollo Hospital. Very personalized attention and i wish to place on record the attention given Ms Sirisha for attending my PMe Every year.,1
Apollo hospital,Health checkup.. Came here for a complete health checkup in Apollo jubilee hills and all the procedures were done with so much of ease..,1
Apollo hospital,Staff of the hospital is very helpful. They guide verywell to each sectÃ¬on. The experience was very good.,1
Apollo hospital,"The care and hospitality is very incredible besides healty treatment , tests & consultations for my father. I highly recommend everyone to visit the hospital. Thank you.",1
Dr.Sujeeth,"Iâ€™m a delicate and sensitive person, and Dr. Sujeeth I was totally impressed by the way I was treated first time when I met him in 2008 and the way he followed up. He is not only an Excellent Doctor , he is simple, superb Human being, Sober, approachable, a Great Social Worker, friendly approach with smiling face with his selfless service with his selfless services.",1
Dr.Sujeeth,Good doctor. He is very simple and gentle in his behavior. He will give sufficient time to each patient. He studies the patient and disease meticulously. We can freely interact with the doctor. He prefers surgery when it is very much required only. I never found commercial nature in him.,1
Dr.Sujeeth,"Very good doctor and kind at heart. Gives maximum time to hear patient views. His clinical diagnosis is very sharp. Most of the times he avoids surgery and does not do unnecessary surgeries. And, after treatment, he himself calls the patients and follow up their condition, which is a rare quality we see in doctors nowadays. Thank you",1
Dr.Sujeeth,He is very caring and soft spoken. He is a dedicated Doctor. He operated on me for umbilical hernia around eight years ago. I am perfectly fine now. Our trust has been building up since then. The way he talks is half of the cure for your problem.,1
Dr.Sujeeth,"Dr.Sujeeth Kumar listens to you very patiently & gives you sufficient time to say your problems. He diagnosed in no time & i was able to recover quickly, not just diagnosing correctly ,he helped me in changing my lifestyle habits. One of the best doctors I visited",1
Dr.Sujeeth,"Excellent doctor,great humanitarian.I have not yet met any other Doctor like him who takes so much personal care of the patients.He is a real à¤¦à¥‡à¤µà¤¦à¥‚à¤¤(God sent)",1
Dr.Sujeeth,"He is very good doctor, dedicated towards his proffetion and always cares his patients.A patient can freely interact with him,gives sufficient time to the patient to express their health issues. The way he handles the patient is very much impressive. He recommends surgery only when it is really required. Overall very rare kind of metal among present generation doctors.",1
Dr.Sujeeth,He is very supportive and suggest well. Good surgeon known from past 10 years. My mother was a renal transplant patient but in most risky condition he treated her in day care procedure and avoided hospital admission .Apollo is really fortunate to have a good surgeon like him. We cannot imagine our life with out him.,1
Dr.Sujeeth,He is very good doctor .. he treated my father and filled in confidence in our family.. he more than a doctor I feel,1
Dr.Sujeeth,"Very pleased with the doctor. He is caring, empathetic and most importantly you get to establish a connection with the Doctor; which I feel is seldom today. One of he best doctors I have met",1
Dr.Sujeeth,"He is very good doctor, he will take care as a family member. Sujeeth Kumar has did Hernia surgery to my mom and she recovered soon.",1
Anjhaka hospital,"I was admitted for my treatment they conducted tests.I found lab charges are very high, echo cardio charges are more than appolohospital.Dr fee is more hihgh charded Rs. 6000.Reg. charges is 1500/.Mos charged 1000/- donâ€™t know for whatNurse chages 10..",1
Vijaya hospital,Please donâ€™t approach to satish reddy.I struggled lot my mother shifted to ICU.I came for fever and he admitted.He did wrost treatment and she joined ICU .He is taken all the disigess.He donâ€™t know the treatment please cancel doctor degree.My honble ..,0
